ID,SCENARIO,DIALOG,YES,NO,EXIT,CREW MORALE,SHIP STRENGTH,INTEL
1,DISTRESS CALL 1,"Captain, I have picked up a distress call coming from the <system> system, would you like for us to respond?",3,2,,,,
2,DISTRESS CALL 1,"Aye Aye Captain, we will avoid this beacon. <Science Officer> Says: Good thinking Captain, after further analysis, I believe this signal shows a similar pattern to onse that the USS <Ship Name> fell victom to as a Alrick Von Monicko decoy. We might have gained some interesting intel though.",,,1,5,,
3,DISTRESS CALL 1,"Captain, we are arriving at the coordinates of the distress call. (sound effect). <Comms Officer> calls out: Captain we are reading multiple distress calls from a <alien race> <ship type>, <Science Officer> Says: Captain, scans show multiple life forms on the ship, however their signals are weaker than expected. Shall we send a boarding crew to investigate?",4,2,,,,
4,DISTRESS CALL 1,"You beam on board the <Ship Description> and notice a strange acidic smell that burns your nostrils. After placing breathing masks <seargent name> calls out: Captain! Over here! I'm detecting multiple strange life signals from the room ahead. <ensign name> also calls out, Captain! I'm detecting a strange power surge from what looks like the engine room, this could be trouble, the hyper drive could be going critical soon. Say Yes for Engine Room or No for Lifeforms to direct your crews next action.",5,6,,,,
5,DISTRESS CALL 1,"<Engineering Officer> says Captain it looks like the hyper drive is in critical condition <sound effect> and unstable, at most we have minutes before the drive blows. I focus on this, we will not have enough time to deal with the survivors. Captain, say YES if you want us to stay or no  to go to resecue survivors. ",8,6,,,,
6,DISTRESS CALL 1,"You manage to access the room and your crew discoveres a handful of <alien name> beings tending to their wounded.  <engineer name> calls out: Captain! I'm detecting a dangerous increase in hyperdrive levels from the engine room, we need to beam off this ship! Do you bring the wounded <alien name> beings with your crew?",7,8,,,,
7,DISTRESS CALL 1,"The <alien ship> explodes at a safe distance and after some time in the medical bay your <comms officer name> says: Captain, we managed to piece together what happened, its a good thing we saved this crew, we learned some valueable information about Von Moniko's pirate fleet from some of the discussions and readings they brought with them as we were leaving the ship.",,,1,,,10
8,DISTRESS CALL 1,"The <alien ship> explodes at a safe distance and after some time the <engineering officer> says: Captain, we managed to gather some interesting technology which we think will help increase our ships strength, however, the crew is not happy that we abandoned a crew in need.",,,1,-10,10,
,,,,,,,,
9,FURBALL CREATURES 1,"Captain, our radar is showing a life pod in <quandrant %%##>. Our scanners cannot confirm if there are any lifeforms on the pod. Shall we  set a course to intercept the life pod?",11,10,,,,
10,FURBALL CREATURES 1,Good call Captain says <security officier> after sending out reconnaissance craft for a closer look we did not pick up any signs of life on the pod. ,,,1,5,,
